Date,Price,Open,High,Low,Vol.,Change %
10/15/2023,666.15,668,677.65,654.2,10.63M,-0.14%
10/08/2023,667.1,620.8,669,613.7,57.86M,0.0717
10/01/2023,622.45,632.6,632.65,608.3,30.32M,-1.23%
09/24/2023,630.2,623.85,633,612.25,34.36M,0.0157
09/17/2023,620.45,635.9,647,619,38.71M,-2.18%
09/10/2023,634.25,634.65,639,615.25,52.95M,0.0112
09/03/2023,627.25,615.6,628.9,605.6,46.18M,0.0263
08/27/2023,611.2,605.4,614.9,599.05,40.95M,0.0101
08/20/2023,605.1,617,626.5,593.3,49.53M,-1.74%
08/13/2023,615.8,612,622,594.5,52.36M,0.0065
08/06/2023,611.8,619,628.3,598,94.58M,-0.52%
07/30/2023,615,640.2,652.9,613.3,55.45M,-3.20%
07/23/2023,635.3,627.95,665.4,626.25,78.91M,0.0153
07/16/2023,625.75,626.9,631,607,49.82M,0.0014
07/09/2023,624.9,624,634.8,615.5,63.34M,0.0108
07/02/2023,618.2,600,624.8,584.95,62.19M,0.038
06/25/2023,595.55,560,599,557.8,45.60M,0.0641
06/18/2023,559.65,570.65,585.9,557.7,54.09M,-1.78%
06/11/2023,569.8,565.5,575,560.8,8.74M,0.0133
06/04/2023,562.3,539,576.55,537.9,82.15M,0.0493
05/28/2023,535.9,525,541.25,516.4,48.86M,0.0337
05/21/2023,518.45,524.95,531,509.1,49.79M,-1.24%
05/14/2023,524.95,523.85,537.15,504.75,100.11M,0.0174
05/07/2023,515.95,480,520.5,478.1,87.04M,0.0814
04/30/2023,477.1,482.5,486.4,474.55,30.55M,-1.62%
04/23/2023,484.95,471.2,488,468.3,39.73M,0.0292
04/16/2023,471.2,471,483.35,465.8,56.96M,0.0036
04/09/2023,469.5,452.05,473.3,452,91.24M,0.0728
04/02/2023,437.65,423,439.3,419.5,26.68M,0.04
03/26/2023,420.8,416,421.75,400.45,38.50M,0.0103
03/19/2023,416.5,415.6,422.5,405.5,39.89M,-0.60%
03/12/2023,419,436.1,437,405,46.16M,-3.87%
03/05/2023,435.85,430.95,442.05,430,35.27M,0.0183
02/26/2023,428,427.75,430.5,413.05,41.38M,0.0006
02/19/2023,427.75,441.8,445.3,427,43.06M,-2.76%
02/12/2023,439.9,445.5,448.25,434.4,41.38M,-1.33%
02/05/2023,445.85,444.45,447.8,431.2,46.64M,0.0009
01/29/2023,445.45,445.6,461.5,437.65,91.68M,-0.03%
01/22/2023,445.6,407,453.4,405,129.65M,0.1053
01/15/2023,403.15,413.5,419.45,400.1,74.14M,-2.03%
01/08/2023,411.5,386.35,420.5,385,113.87M,0.0772
01/01/2023,382,392.5,398.35,381,55.21M,-1.53%
12/25/2022,387.95,380.25,397.45,375.2,64.62M,0.0254
12/18/2022,378.35,421.9,422.85,377,68.57M,-10.26%
12/11/2022,421.6,412,427.8,408,82.53M,0.0201
12/04/2022,413.3,435.5,437.5,409.55,52.91M,-5.08%
11/27/2022,435.4,435,443.6,429.55,51.32M,0.0051
11/20/2022,433.2,425.6,435.15,420,48.01M,0.0222
11/13/2022,423.8,424,438.5,419.6,62.37M,0.0007
11/06/2022,423.5,428.25,441.2,409.2,75.08M,-0.43%
10/30/2022,425.35,414.35,426,411.6,62.95M,0.0377
10/23/2022,409.9,406,411.7,400.15,47.96M,0.0298
10/16/2022,398.05,394,406.95,392.5,53.43M,0.0045
10/09/2022,396.25,403.4,409.2,391.1,87.30M,-3.86%
